yr_2007,cartodb_id,name,country_or,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
98711,148,Rwanda,Rwanda,169956,132025,124922,108644,83100,125998,107568,90431,154518,136749,124613,119014,104242,100081,308170,309891,296543
70797,149,Saudi Arabia,Saudi Arabia,129,188,220,339,301,70222,70671,70751,70690,70747,70857,70968,70806,1033,1286,1945,2433
2007976,150,Sudan,Sudan,513744,514961,523276,613059,1405202,1567581,2082407,1749986,1619296,2185171,3283398,2574830,2587056,2909808,4080416,2960423,3141676
,151,South Sudan,South Sudan,,,,,,,,,,,561074,453598,476646,2465460,2573451,4048612,4363156
16801,152,Senegal,Senegal,12022,12259,12875,9193,9885,10521,16406,16827,16938,17802,18659,21387,24529,31918,35591,39380,51743
135,153,Singapore,Singapore,40,35,60,58,53,67,124,125,93,89,90,98,99,97,104,96,102
70,154,Solomon Islands,Solomon Islands,57,55,58,71,71,38,65,52,66,75,76,68,72,91,108,149,163
37157,155,Sierra Leone,Sierra Leone,950606,280521,224928,110753,76205,46576,48636,35480,23249,14543,11073,10135,9266,9688,9888,10838,11077
24637,156,El Salvador,El Salvador,185164,172139,158219,134323,96269,49486,35171,16311,14802,6531,8356,9819,20906,29006,56332,91581,206471
3,157,San Marino,San Marino,6,1,3,2,1,4,4,2,2,2,1,1,1,1,2,2,
1476006,158,Somalia,Somalia,553581,509664,480326,429384,429908,839997,889903,1860374,2249454,2256807,2465413,2313646,2432288,2306072,2351000,2671755,3203111
409175,159,Republic of Serbia,Serbia and Kosovo (S/RES/1244 (1999)),672985,571104,704669,664636,595528,547763,513661,456423,463475,447229,424706,415445,308195,316611,312812,278910,249829
33,160,Sao Tome and Principe,Sao Tome and Principe,32,40,39,43,39,24,32,35,33,33,33,33,33,28,34,41,49
75,161,Suriname,Suriname,386,291,149,107,85,50,91,63,57,32,28,34,38,64,69,48,63
1357,162,Slovakia,Slovakia,1018,863,1301,1067,837,994,1023,1374,1598,1496,873,2393,2243,646,874,1380,1610
4153,163,Slovenia,Slovenia,3306,792,893,638,1179,621,5866,4154,4148,4144,40,51,48,33,36,37,29
5594,164,Sweden,Sweden,23,14,44,56,37,5384,5605,6272,7792,9397,10390,9656,20475,28,33,35,24
91,165,Swaziland,Swaziland,20,19,24,16,23,18,27,131,88,88,178,230,257,308,390,383,264
66,166,Seychelles,Seychelles,35,37,72,53,54,50,69,69,58,53,48,30,31,42,42,22,10
